Site Id;Site Name;Longitude;Latitude;River
93253;KUŹNICA CZARNKOWSKA;16 32;52 57;NOTEĆ
96593;KUŹNICE;19 59;49 16;ZAKOPIANKA
95728;KWASÓW;21 02;50 26;CZARNA
4205;KWIETNO;16 28;51 11;ODRA
96579;LACHOWICE KRALE;19 25;49 42;SKAWA
92820;LACHOWO;22 01;53 28;PISA
6551;LALIKI;19 01;49 33;SOŁA
93101;LASKI;15 19;52 02;ODRA
93747;LASKI;21 44;52 31;LIWIEC
95212;LASÓWKA;16 27;50 19;ŁABA
95802;LASZKI;22 54;50 02;SAN
93313;LĄD;17 54;52 12;WARTA
5208;LĄDEK-ZDRÓJ;16 53;50 21;NYSA KŁODZKA
91609;LECHOWO;20 16;54 12;PASŁĘKA
91617;LELKOWO;20 14;54 20;PASŁĘKA
95563;LELÓW;19 38;50 41;PILICA
92714;LESINY WIELKIE;21 08;53 23;OMULEW
96819;LESZCZOWATE;22 33;49 30;SAN
93665;LESZNO;20 35 08;52 15 22;BZURA
94108;LEŚNA;15 16;51 02;KWISA
92441;LEŚNA HUTA;18 06;53 53;WDA
95447;LEŚNICA;18 11;50 26;ODRA
95217;LEWIN KŁODZKI;16 18;50 25;ŁABA
5805;LEŻAJSK;22 25;50 15;SAN
6501;LIBERTÓW;19 54;49 58;WISŁA
2505;LIDZBARK;19 50;53 15;DRWĘCA
1601;LIDZBARK WARMIŃSKI;20 36;54 08;ŁYNA
96580;LIGASÓWKA-ZĄB;19 57;49 20;DUNAJEC
95491;LIGOTA GÓRNA;18 09;50 29;MAŁA PANEW
94312;LIGOTA PIĘKNA;17 03;51 14;WIDAWA
95405;LIGOTA TWORKOWSKA;18 16;50 02;ODRA
92010;LINIE;14 45;53 11;PŁONIA
95836;LIPA;22 06;50 42;SAN
95435;LIPINY;18 54;50 19;PRZEMSZA
96650;LIPNICA DOLNA;20 32;49 52;WISŁA
98501;LIPNICA WIELKA;19 32 43;49 32 16;CZARNA ORAWA
2003;LIPNIK (LIPKI);14 58;53 21;PŁONIA
96540;LIPOWA;19 05;49 40;SOŁA
1550;LIPOWINA;19 59;54 21;PASŁĘKA
91452;LISEWO;18 50;54 06;SZKARPAWA
95707;LISIA GÓRA;21 02;50 05;WISŁOKA
94222;LISIEC;16 03;51 19;KACZAWA
94451;LISKÓW;18 24 36;51 50 07;PROSNA
92119;LISOWO;15 18;53 26;INA
93815;LIWSKIE MOSTY;22 01;52 22;LIWIEC
95256;LUBACHÓW;16 26;50 46;BYSTRZYCA
5904;LUBACZÓW;23 08;50 09;LUBACZÓWKA
93445;LUBANIE;18 55;52 45;WISŁA
91406;LUBAŃ;18 10;54 07;WIERZYCA
94118;LUBAŃ;15 18;51 06;KWISA
94822;LUBARTÓW;22 36;51 28;WIEPRZ
96754;LUBATOWA;21 46;49 33;WISŁOK
92523;LUBAWA;19 45;53 30;DRWĘCA
95352;LUBICZ;17 34 25;50 54 10;ODRA
96551;LUBIEŃ;19 58;49 43;RABA
94159;LUBIĘCIN;15 51;51 54;OBRZYCA
93128;LUBIKOWO;15 42;52 33;WARTA
94225;LUBIN;16 13 01;51 24 43;ODRA
